year,Praktisch,Recherche,Technische Grundlagen,Stand der Technik,Eigener Ansatz,Implementierung,Sonstiges
1,510,0,0,0,0,0,0
2,285,120,0,0,0,0,0
3,0,0,0,0,0,0,285
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,240,0,180,0,0,0,0
8,0,0,350,0,0,0,0
9,0,0,60,40,0,0,0
10,60,0,0,100,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,110,135,0,0,0,0,20
18,0,0,90,185,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,80,140,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,160,0,0
24,145,0,0,0,145,0,0
25,0,0,0,0,170,0,0
26,0,0,0,0,160,0,0
27,0,0,0,0,30,0,0
28,0,0,0,0,0,0,0
29,50,0,0,0,105,0,0
30,160,0,0,0,0,20,45
31,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
